"Hydrachnidia";"Ampularidae";"Atyidae";"Baetidae";"Belastomatidae";"Caenidae";"Ceratopogonidae";"Coenagrionidae";"Conchostraca";"Corixidae";"Curculionidae";"Chaoboridae";"Chironomidae_L";"Chironomidae_P";"Dytiscidae_L";"Dytiscidae_A";"Gerridae";"Gomphidae";"Glossosomatidae";"Hidrophilidae_L";"Hidrophilide_A";"Hirudinea";"Leptohyphidae";"Leptoceridae";"Libellulidae";"Lymnaeidae";"Naucoridae";"Notonectidae";"Oligochaeta";"Ostracoda";"Planorbidae";"Physidae";"Sphaeridae";"Thiaridae";"Veliidae"
"S-R-CI-1";0;0;0;0;0;0;3;0;0;0;0;0;12;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;0;5;0;0;0;0
"S-R-CI-2";0;0;0;1;0;0;5;0;0;37;0;2;1291;84;0;3;2;6;0;0;0;0;0;0;0;0;0;14;1;0;2;0;0;0;3
"S-R-CI-3";45;1;0;85;0;125;1;0;0;709;1;0;2879;0;3;0;0;3;3;181;2;0;35;3;11;0;0;12;2;0;222;0;1;1;0
"S-R-CI-4";0;2;0;4;0;0;40;0;0;113;0;0;587;26;1;5;0;16;3;40;1;0;0;0;80;0;0;17;0;0;38;0;0;1;0
"B-A-SA-1";0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B-A-SA-2";0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0
"B-A-SA-3";0;1;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0
"B-A-SA-4";0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;28;0
"B-A-MU-2";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B-A-MU-3";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B-A-MU-4";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
"B-R-EP-2";0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1259;0
"B-R-EP-3";0;0;3;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;422;0
"B-R-EP-4";0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1329;0
"S-A-RE-1";0;0;0;16;0;0;3;1;149;0;0;0;911;24;1;0;0;0;0;1;7;0;0;0;26;3;1;0;443;0;20;0;0;0;0
"S-A-RE-2";0;0;0;0;0;0;1;0;24;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;1016;3;0;5;0;0;0
"S-A-RE-3";0;0;0;2;2;0;13;2;7;21;5;0;49;0;1;7;0;0;0;6;51;3;0;0;52;0;11;11;950;127;18;20;0;0;0
"S-A-RE-4";0;0;0;0;0;27;1;13;0;0;0;0;3;0;0;0;0;2;0;4;15;5;0;0;54;0;0;0;1462;0;151;5;0;0;0
"S-R-SE-1";0;0;0;0;0;1;0;2;0;0;0;0;11;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;11;0
"S-R-SE-2";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1264;0
"S-R-SE-3";0;0;27;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;4145;0
"S-R-SE-4";0;0;19;0;0;0;7;0;0;0;0;0;833;3;0;18;0;8;0;0;15;0;0;0;0;0;1;3;0;0;235;0;0;5689;0
