"Hydrachnidia";"Ampularidae";"Atyidae";"Baetidae";"Belastomatidae";"Caenidae";"Ceratopogonidae";"Coenagrionidae";"Conchostraca";"Corixidae";"Curculionidae";"Chaoboridae";"Chironomidae_L";"Chironomidae_P";"Dytiscidae_L";"Dytiscidae_A";"Gerridae";"Gomphidae";"Glossosomatidae";"Hidrophilidae_L";"Hidrophilide_A";"Hirudinea";"Leptohyphidae";"Leptoceridae";"Libellulidae";"Lymnaeidae";"Naucoridae";"Notonectidae";"Oligochaeta";"Ostracoda";"Planorbidae";"Physidae";"Sphaeridae";"Thiaridae";"Veliidae"
"S-R-CI-1";0;0;0;0;0;0;6.25;0;0;0;0;0;25;0;0;0;0;0;0;0;14.5833333333333;0;0;0;0;0;0;0;6.25;0;10.4166666666667;0;0;0;0
"S-R-CI-2";0;0;0;2.08333333333333;0;0;10.4166666666667;0;0;77.0833333333333;0;4.16666666666667;2689.58333333333;175;0;6.25;4.16666666666667;12.5;0;0;0;0;0;0;0;0;0;29.1666666666667;2.08333333333333;0;4.16666666666667;0;0;0;6.25
"S-R-CI-3";93.75;2.08333333333333;0;177.083333333333;0;260.416666666667;2.08333333333333;0;0;1477.08333333333;2.08333333333333;0;5997.91666666667;0;6.25;0;0;6.25;6.25;377.083333333333;4.16666666666667;0;72.9166666666667;6.25;22.9166666666667;0;0;25;4.16666666666667;0;462.5;0;2.08333333333333;2.08333333333333;0
"S-R-CI-4";0;4.16666666666667;0;8.33333333333333;0;0;83.3333333333333;0;0;235.416666666667;0;0;1222.91666666667;54.1666666666667;2.08333333333333;10.4166666666667;0;33.3333333333333;6.25;83.3333333333333;2.08333333333333;0;0;0;166.666666666667;0;0;35.4166666666667;0;0;79.1666666666667;0;0;2.08333333333333;0
"B-A-SA-1";0;0;0;0;0;0;0;0;0;0;0;0;6.25;4.16666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B-A-SA-2";0;0;0;0;0;0;0;0;0;0;0;0;18.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.16666666666667;0;0;0;0;6.25;0
"B-A-SA-3";0;2.08333333333333;0;2.08333333333333;0;0;0;0;0;0;0;0;14.5833333333333;0;0;0;0;2.08333333333333;0;0;0;0;0;0;0;0;0;0;2.08333333333333;0;8.33333333333333;0;0;0;0
"B-A-SA-4";0;0;0;0;0;0;0;0;0;0;0;0;20.8333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.16666666666667;0;0;58.3333333333333;0
"B-A-MU-2";0;0;0;6.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B-A-MU-3";0;0;0;0;0;0;0;0;0;0;0;0;6.25;0;0;2.08333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
