"g.river_length";"g.altitude";"m.depth_mar";"m.depth_max";"m.slope";"m.width";"q.w_vel";"q.temp";"q.do";"q.turb";"s.mud";"s.sand";"s.rocks";"h.macroph";"h.grass";"h.subveg";"h.overhveg";"h.litter";"h.roots";"s.gravel";"h.algae";"h.debris"
"S-R-CI-1";83.05;169;22.6666666666667;60;60;17.24;0.159151193633952;35.2;6.86333333333333;26;16.6666666666667;70;0;0;23.3333333333333;3;26.6666666666667;2.33333333333333;3.33333333333333;13.3333333333333;4;3.66666666666667
"S-R-CI-2";83.05;169;32.6666666666667;68;60;18.47;0;29;3.015;33;0.666666666666667;87.6666666666667;0;0;0;0;33.3333333333333;1;5;11.6666666666667;0;10.3333333333333
"S-R-CI-3";83.05;169;32.6666666666667;79;60;15.1;0;29.6666666666667;5;50.3333333333333;48.75;22.5;0;0;0;0;0;1.5;1;28.75;6.75;3.66666666666667
"S-R-CI-4";83.05;169;45.3333333333333;64;60;10.7;0;27.6;4.9;60;5;60;10;0;0;0;8.33333333333333;1;0;25;75;1
"B-A-SA-1";212.666666666667;713;8.16666666666667;60;30;330;0;29.2333333333333;5.13666666666667;25.6666666666667;96.6666666666667;3.33333333333333;0;46.6666666666667;0;3.33333333333333;3.33333333333333;0;0;0;0;0
"B-A-SA-2";212.666666666667;713;7;69;30;321;0;29;1.85;55;98;2;0;2.6;7.5;26;0.4;0;0;0;1;0
"B-A-SA-3";212.666666666667;713;6.83333333333333;68;30;314.2;0;24;8.8;51.6666666666667;87.7777777777778;6.66666666666667;0;0;13.3333333333333;0;0;0;0;5.55555555555555;25;0
"B-A-SA-4";212.666666666667;713;4.66666666666667;63;30;289.5;0;24.7;8.75;36;95.1666666666667;3.41666666666667;0;2.08333333333333;0;0;0;0;0;1.41666666666666;43.3333333333333;3.75
"B-A-MU-2";214.02;725;22;115;30;247.63;0;29;1.815;43;20.6;77;0;0;54;36.6;0;5;0;2.4;0;10
"B-A-MU-3";214.02;725;25.6666666666667;117;30;234.53;0;26;5.7;63;65;35;0;0;28.3333333333333;8.33333333333333;0;1;0;0;0.333333333333333;11.6666666666667
"B-A-MU-4";214.02;725;41.3333333333333;112;30;239;0;25.95;7.3;89;91.7777777777778;3.22222222222222;5;0;5.55555555555556;0;0;0.444444444444444;0;0;30;10.4444444444444
"B-R-EP-2";196.833333333333;402;49.3333333333333;110;90;29.6;0;29;5.635;50;39;56;1;0;2;0;0;0.4;0;4;0.4;0.4
"B-R-EP-3";196.833333333333;402;50;80;90;27.3;0;29;5;32.3333333333333;33.6666666666667;63;0;0;0;0;0;0.333333333333333;0;3.33333333333333;0;0.444444444444444
"B-R-EP-4";196.833333333333;402;52.8333333333333;95;90;20;0;28.85;5.1;30;48.875;47.875;1.25;0;0;0;0;0.5;0;2;0;2.5
"S-A-RE-1";110.2;270;54.6666666666667;154;60;102;0.1;34;4.82;61;81.6666666666667;8.33333333333333;8.33333333333333;5.83333333333333;0;16.6666666666667;33.3333333333333;3.6666666666667;0;1.66666666666667;28.3333333333333;10
"S-A-RE-2";110.2;270;37.6666666666667;118;60;100;0;29;5;90;5;95;0;54.8333333333333;0.333333333333333;0;8.33333333333333;1;0;0;33.333333;13.6666666666667
"S-A-RE-3";110.2;270;22.3333333333333;109;60;88;0;34;9;51.6666666666667;46.6666666666667;40;0;44.6296296296296;8.11111111111111;0;0;0.666666666666667;0;13.3333333333333;9;1.66666666666667
"S-A-RE-4";110.2;270;30.3333333333333;87;60;72.2;0;29.5333333333333;9.43333333333333;67;59.1428571428571;38.7142857142857;0;37.3095238095238;0;0;0;0.571428571428571;0;2.14285714285714;0;3.28571428571429
"S-R-SE-1";163.2;226;81.3333333333333;106;30;19.64;0.166666666666667;32.9;6.51;46;65;30;3.33333333333333;8.33333333333333;20;10;0;0.666666666666667;0;1.66666666666667;12;3.33333333333334
"S-R-SE-2";163.2;226;67;105;30;16.1;0.125;32;5.375;44;40;40;0;0;20;0;0;0;0;20;1;0
"S-R-SE-3";163.2;226;32.3333333333333;110;30;6.2;0;28.2666666666667;6;17.3333333333333;65.5555555555556;23.1111111111111;8.33333333333333;0;0.111111111111111;0;0;0;0;3;0;2.22222222222222
"S-R-SE-4";163.2;226;32.3333333333333;74;30;5.4;0;32.6;6;16;95;1.83333333333333;2.83333333333333;0;4.16666666666667;0;0;0.833333333333333;0;0.333333333333333;7.5;5
