"Variable";"Buique_acude_MU";"Buique_acude_SA";"Buique_rio_EP";"Serido_acude_RE";"Serido_rio_CI";"Serido_rio_SE"
"1";"g.river.length";"214 (214-214)";"212.7 (212.7-212.7)";"196.8 (196.8-196.8)";"110.2 (110.2-110.2)";"83 (83-83)";"163.2 (163.2-163.2)"
"2";"g.altitude";"725 (725-725)";"713 (713-713)";"402 (402-402)";"270 (270-270)";"169 (169-169)";"226 (226-226)"
"3";"m.depth.mar";"29.7 (22-41.3)";"6.7 (4.7-8.2)";"50.7 (49.3-52.8)";"36.2 (22.3-54.7)";"33.3 (22.7-45.3)";"53.2 (32.3-81.3)"
"4";"m.depth.max";"114.7 (112-117)";"65 (60-69)";"95 (80-110)";"117 (87-154)";"67.8 (60-79)";"98.8 (74-110)"
"5";"m.slope";"30 (30-30)";"30 (30-30)";"90 (90-90)";"60 (60-60)";"60 (60-60)";"30 (30-30)"
"6";"m.width";"240.4 (234.5-247.6)";"313.7 (289.5-330)";"25.6 (20-29.6)";"90.6 (72.2-102)";"15.4 (10.7-18.5)";"11.8 (5.4-19.6)"
"7";"q.w.vel";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0.025 (0-0.1)";"0.04 (0-0.159)";"0.073 (0-0.167)"
"8";"q.temp";"27 (26-29)";"26.7 (24-29.2)";"29 (28.9-29)";"31.6 (29-34)";"30.4 (27.6-35.2)";"31.4 (28.3-32.9)"
"9";"q.do";"4.9 (1.8-7.3)";"6.1 (1.9-8.8)";"5.2 (5-5.6)";"7.1 (4.8-9.4)";"4.9 (3-6.9)";"6 (5.4-6.5)"
"10";"q.turb";"65 (43-89)";"42.1 (25.7-55)";"37.4 (30-50)";"67.4 (51.7-90)";"42.3 (26-60)";"30.8 (16-46)"
"11";"s.mud";"59.1 (20.6-91.8)";"94.4 (87.8-98)";"40.5 (33.7-48.9)";"48.1 (5-81.7)";"17.8 (0.7-48.8)";"66.4 (40-95)"
"12";"s.sand";"38.4 (3.2-77)";"3.9 (2-6.7)";"55.6 (47.9-63)";"45.5 (8.3-95)";"60 (22.5-87.7)";"23.7 (1.8-40)"
"20";"s.gravel";"0.8 (0-2.4)";"1.7 (0-5.6)";"3.1 (2-4)";"4.3 (0-13.3)";"19.7 (11.7-28.8)";"6.3 (0.3-20)"
"13";"s.rocks";"1.7 (0-5)";"0 (0-0)";"0.8 (0-1.2)";"2.1 (0-8.3)";"2.5 (0-10)";"3.6 (0-8.3)"
"14";"h.macroph";"0 (0-0)";"12.8 (0-46.7)";"0 (0-0)";"35.7 (5.8-54.8)";"0 (0-0)";"2.1 (0-8.3)"
"15";"h.grass";"29.3 (5.6-54)";"5.2 (0-13.3)";"0.7 (0-2)";"2.1 (0-8.1)";"5.8 (0-23.3)";"11.1 (0.1-20)"
"16";"h.subveg";"15 (0-36.6)";"7.3 (0-26)";"0 (0-0)";"4.2 (0-16.7)";"0.8 (0-3)";"2.5 (0-10)"
"17";"h.overhveg";"0 (0-0)";"0.9 (0-3.3)";"0 (0-0)";"10.4 (0-33.3)";"17.1 (0-33.3)";"0 (0-0)"
"18";"h.litter";"2.1 (0.4-5)";"0 (0-0)";"0.4 (0.3-0.5)";"1.5 (0.6-3.7)";"1.5 (1-2.3)";"0.4 (0-0.8)"
"21";"h.algae";"10.1 (0-30)";"17.3 (0-43.3)";"0.1 (0-0.4)";"17.7 (0-33.3)";"21.4 (0-75)";"5.1 (0-12)"
"19";"h.roots";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"2.3 (0-5)";"0 (0-0)"
"22";"h.debris";"10.7 (10-11.7)";"0.9 (0-3.8)";"1.1 (0.4-2.5)";"7.2 (1.7-13.7)";"4.7 (1-10.3)";"2.6 (0-5)"
