"Grupos";"Srare";"dens";"S"
"S-R-CI-1";"CI";5;1.78571428571429;5
"S-R-CI-2";"CI";12.7196028397842;86.3690476190475;13
"S-R-CI-3";"CI";15.0572834846267;257.440476190476;21
"S-R-CI-4";"CI";16;57.9761904761906;16
"B-A-SA-1";"SA";2;0.297619047619048;2
"B-A-SA-2";"SA";3;0.833333333333333;3
"B-A-SA-3";"SA";6;0.892857142857141;6
"B-A-SA-4";"SA";3;2.38095238095238;3
"B-A-MU-2";"MU";1;0.178571428571429;1
"B-A-MU-3";"MU";2;0.238095238095238;2
"B-A-MU-4";"MU";2;0.714285714285714;2
"B-R-EP-2";"EP";3.92086045842367;82.7380952380954;4
"B-R-EP-3";"EP";5;26.4880952380952;5
"B-R-EP-4";"EP";2.955223880597;79.7619047619048;3
"S-A-RE-1";"RE";13.1714258832383;95.5952380952382;14
"S-A-RE-2";"RE";7;64.3452380952382;7
"S-A-RE-3";"RE";19.9326018590353;80.8333333333334;20
"S-A-RE-4";"RE";11.6385135947125;103.690476190476;12
"S-R-SE-1";"SE";7;1.8452380952381;7
"S-R-SE-2";"SE";3;75.4166666666666;3
"S-R-SE-3";"SE";3.76316170114219;249.464285714286;4
"S-R-SE-4";"SE";8.60308474719409;406.607142857142;11
