"pontos";"tag";"tag1";"ponto.n";"habitat.n";"area.n";"estacao.n";"area";"are";"ambiente";"env";"UA";"coleta";"mes";"tag2";"nome";"apelido";"n_potes";"apel";"paper";"estacao";"data";"lat";"long"
"S-R-CI-1";2;"S-R-CI-1";"S-CI-R-1";1;1;1;1;"Serido";"Ser";"rio";"str";"CI";1;"APR";"S-PM-R-1";"Riacho Cipo";"(Passagem Molhada)";3;"pass";"S2-APR";"chuvosa";"02-IV-06";"-06 38' 39,42000''";"-37 10' 30,84000''"
"S-R-CI-2";2;"S-R-CI-2";"S-CI-R-2";1;1;1;1;"Serido";"Ser";"rio";"str";"CI";2;"JUN";"S-PM-R-2";"Riacho Cipo";"(Passagem Molhada)";3;"pass";"S2-JUN";"chuvosa";"23-VI-06";"-06 38' 39,42000''";"-37 10' 30,84000''"
"S-R-CI-3";2;"S-R-CI-3";"S-CI-R-3";1;1;1;2;"Serido";"Ser";"rio";"str";"CI";3;"SEP";"S-PM-R-3";"Riacho Cipo";"(Passagem Molhada)";5;"pass";"S2-SEP";"seca";"22-IX-06";"-06 38' 39,42000''";"-37 10' 30,84000''"
"S-R-CI-4";2;"S-R-CI-4";"S-CI-R-4";1;1;1;2;"Serido";"Ser";"rio";"str";"CI";4;"DEC";"S-PM-R-4";"Riacho Cipo";"(Passagem Molhada)";3;"pass";"S2-DEC";"seca";"17-XII-06";"-06 38' 39,42000''";"-37 10' 30,84000''"
"B-A-SA-1";4;"B-A-SA-1";"B-SA-A-1";2;2;2;1;"Buique";"Bui";"acude";"res";"SA";1;"APR";"B-GU-A-1";"Acude Salobro";"(Gurjao)";3;"gur";"S6-APR";"chuvosa";"02-IV-06";"-08 39' 04,26000''";"-36 34' 57,24000''"
"B-A-SA-2";4;"B-A-SA-2";"B-SA-A-2";2;2;2;1;"Buique";"Bui";"acude";"res";"SA";2;"JUN";"B-GU-A-2";"Acude Salobro";"(Gurjao)";3;"gur";"S6-JUN";"chuvosa";"23-VI-06";"-08 39' 04,26000''";"-36 34' 57,24000''"
"B-A-SA-3";4;"B-A-SA-3";"B-SA-A-3";2;2;2;2;"Buique";"Bui";"acude";"res";"SA";3;"SEP";"B-GU-A-3";"Acude Salobro";"(Gurjao)";3;"gur";"S6-SEP";"seca";"22-IX-06";"-08 39' 04,26000''";"-36 34' 57,24000''"
"B-A-SA-4";4;"B-A-SA-4";"B-SA-A-4";2;2;2;2;"Buique";"Bui";"acude";"res";"SA";4;"DEC";"B-GU-A-4";"Acude Salobro";"(Gurjao)";3;"gur";"S6-DEC";"seca";"17-XII-06";"-08 39' 04,26000''";"-36 34' 57,24000''"
"B-A-MU-2";5;"B-A-MU-2";"B-MU-A-2";3;2;2;1;"Buique";"Bui";"acude";"res";"MU";2;"JUN";"B-MU-A-2";"Acude  Mulungu";"(Mulungu)";3;"mul";"S5-JUN";"chuvosa";"23-VI-06";"-08 37' 35,94000''";"-37 07' 44,40000''"
"B-A-MU-3";5;"B-A-MU-3";"B-MU-A-3";3;2;2;2;"Buique";"Bui";"acude";"res";"MU";3;"SEP";"B-MU-A-3";"Acude  Mulungu";"(Mulungu)";3;"mul";"S5-SEP";"seca";"22-IX-06";"-08 37' 35,94000''";"-37 07' 44,40000''"
"B-A-MU-4";5;"B-A-MU-4";"B-MU-A-4";3;2;2;2;"Buique";"Bui";"acude";"res";"MU";4;"DEC";"B-MU-A-4";"Acude  Mulungu";"(Mulungu)";4;"mul";"S5-DEC";"seca";"17-XII-06";"-08 37' 35,94000''";"-37 07' 44,40000''"
"B-R-EP-2";6;"B-R-EP-2";"B-EP-R-2";4;1;2;1;"Buique";"Bui";"rio";"str";"EP";2;"JUN";"B-EP-R-2";" Riacho Escama-Peixe";"(Poco da Cruz)";3;"cruz";"S4-JUN";"chuvosa";"23-VI-06";"-08 30' 55,74000''";"-37 42' 58,44000''"
"B-R-EP-3";6;"B-R-EP-3";"B-EP-R-3";4;1;2;2;"Buique";"Bui";"rio";"str";"EP";3;"SEP";"B-EP-R-3";" Riacho Escama-Peixe";"(Poco da Cruz)";5;"cruz";"S4-SEP";"seca";"22-IX-06";"-08 30' 55,74000''";"-37 42' 58,44000''"
"B-R-EP-4";6;"B-R-EP-4";"B-EP-R-4";4;1;2;2;"Buique";"Bui";"rio";"str";"EP";4;"DEC";"B-EP-R-4";" Riacho Escama-Peixe";"(Poco da Cruz)";5;"cruz";"S4-DEC";"seca";"17-XII-06";"-08 30' 55,74000''";"-37 42' 58,44000''"
"S-A-RE-1";3;"S-A-RE-1";"S-RE-A-1";5;2;1;1;"Serido";"Ser";"acude";"res";"RE";1;"APR";"S-RE-A-1";"Acude Recanto";"(Tamandua)";3;"tam";"S3-APR";"chuvosa";"02-IV-06";"-07 00' 19,62000''";"-37 23' 30,36000''"
"S-A-RE-2";3;"S-A-RE-2";"S-RE-A-2";5;2;1;1;"Serido";"Ser";"acude";"res";"RE";2;"JUN";"S-RE-A-2";"Acude Recanto";"(Tamandua)";3;"tam";"S3-JUN";"chuvosa";"23-VI-06";"-07 00' 19,62000''";"-37 23' 30,36000''"
"S-A-RE-3";3;"S-A-RE-3";"S-RE-A-3";5;2;1;2;"Serido";"Ser";"acude";"res";"RE";3;"SEP";"S-RE-A-3";"Acude Recanto";"(Tamandua)";9;"tam";"S3-SEP";"seca";"22-IX-06";"-07 00' 19,62000''";"-37 23' 30,36000''"
"S-A-RE-4";3;"S-A-RE-4";"S-RE-A-4";5;2;1;2;"Serido";"Ser";"acude";"res";"RE";4;"DEC";"S-RE-A-4";"Acude Recanto";"(Tamandua)";5;"tam";"S3-DEC";"seca";"17-XII-06";"-07 00' 19,62000''";"-37 23' 30,36000''"
"S-R-SE-1";1;"S-R-SE-1";"S-SE-R-1";6;1;1;1;"Serido";"Ser";"rio";"str";"SE";1;"APR";"S-CA-R-1";"Rio Serido";"(Caturere)";3;"cat";"S1-APR";"chuvosa";"02-IV-06";"-06 36' 30,24000''";"-36 46' 57,18000''"
"S-R-SE-2";1;"S-R-SE-2";"S-SE-R-2";6;1;1;1;"Serido";"Ser";"rio";"str";"SE";2;"JUN";"S-CA-R-2";"Rio Serido";"(Caturere)";3;"cat";"S1-JUN";"chuvosa";"23-VI-06";"-06 36' 30,24000''";"-36 46' 57,18000''"
"S-R-SE-3";1;"S-R-SE-3";"S-SE-R-3";6;1;1;2;"Serido";"Ser";"rio";"str";"SE";3;"SEP";"S-CA-R-3";"Rio Serido";"(Caturere)";5;"cat";"S1-SEP";"seca";"22-IX-06";"-06 36' 30,24000''";"-36 46' 57,18000''"
"S-R-SE-4";1;"S-R-SE-4";"S-SE-R-4";6;1;1;2;"Serido";"Ser";"rio";"str";"SE";4;"DEC";"S-CA-R-4";"Rio Serido";"(Caturere)";7;"cat";"S1-DEC";"seca";"17-XII-06";"-06 36' 30,24000''";"-36 46' 57,18000''"
